#Target Query_ID Document_ID
1 qid:1 #1975-2
2 qid:1 #15076-3
5 qid:1 #74774-1
1 qid:1 #1920-8
1 qid:1 #54439-5
1 qid:1 #14747-0
1 qid:1 #14423-8
6 qid:1 #14749-6
1 qid:1 #26464-8
1 qid:1 #3082-5
1 qid:1 #26474-7
3 qid:1 #14764-5
1 qid:1 #33870-7
1 qid:1 #4671-4
1 qid:1 #20442-0
1 qid:1 #26484-6
1 qid:1 #26478-8
1 qid:1 #35192-4
4 qid:1 #35184-1
1 qid:1 #1742-6
1 qid:2 #26464-8
2 qid:2 #1920-8
1 qid:2 #35184-1
1 qid:2 #26478-8
1 qid:2 #14423-8
1 qid:2 #14747-0
1 qid:2 #14764-5
1 qid:2 #20442-0
6 qid:2 #1975-2
5 qid:2 #35192-4
1 qid:2 #15076-3
1 qid:2 #26484-6
1 qid:2 #4671-4
1 qid:2 #74774-1
4 qid:2 #33870-7
1 qid:2 #14749-6
2 qid:2 #1742-6
1 qid:2 #26474-7
1 qid:2 #3082-5
3 qid:2 #54439-5
5 quid:3 #26484-6
1 quid:3 #14423-8
1 quid:3 #35192-4
1 quid:3 #4671-4
1 quid:3 #35184-1
1 quid:3 #74774-1
1 quid:3 #3082-5
1 quid:3 #33870-7
1 quid:3 #14747-0
4 quid:3 #26474-7
1 quid:3 #1975-2
1 quid:3 #14749-6
1 quid:3 #1742-6
2 quid:3 #26478-8
1 quid:3 #15076-3
1 quid:3 #20442-0
1 quid:3 #14764-5
3 quid:3 #26464-8
1 quid:3 #54439-5
1 quid:3 #1920-8
